,Unnamed: 0,Body_Temperature,Heart_Rate,Pulse_Rate,SpO2,ECG,Anomaly_Type,Normal
0,0,92.5,101,145,29,366,1,0
1,1,68.1,24,30,81,238,1,0
2,2,60.8,26,96,35,477,1,0
3,3,137.4,69,116,44,108,1,0
4,4,119.4,114,98,89,74,1,0
5,5,125.9,45,97,50,618,1,0
6,6,91.2,149,69,44,790,1,0
7,7,81.4,96,17,92,355,1,0
8,8,96.5,82,50,19,357,1,0
9,9,113.1,149,31,75,74,1,0
10,10,74.1,110,46,6,767,1,0
11,11,136.0,64,55,60,109,1,0
12,12,119.0,25,84,59,887,1,0
13,13,108.9,115,85,80,508,1,0
14,14,77.2,100,105,36,434,1,0
15,15,70.7,105,34,94,488,1,0
16,16,52.6,46,69,35,670,1,0
17,17,81.2,55,96,7,203,1,0
18,18,72.1,110,15,19,255,1,0
19,19,116.5,36,90,4,374,1,0
20,20,122.2,79,69,0,19,1,0
21,21,137.0,98,2,6,286,1,0
22,22,73.2,126,94,87,663,1,0
23,23,124.8,9,102,91,958,1,0
24,24,147.2,77,105,74,860,1,0
25,25,52.0,117,118,13,435,1,0
26,26,129.6,104,49,7,345,1,0
27,27,121.7,137,92,5,448,1,0
28,28,54.0,24,6,6,803,1,0
29,29,110.5,88,1,75,733,1,0
30,30,56.8,51,115,2,5,1,0
31,31,121.4,17,75,2,511,1,0
32,32,98.7,31,45,31,367,1,0
33,33,73.7,148,52,69,36,1,0
34,34,105.6,84,37,6,254,1,0
35,35,77.4,32,38,72,294,1,0
36,36,71.1,44,114,29,704,1,0
37,37,92.4,143,92,43,958,1,0
38,38,140.7,63,71,35,243,1,0
39,39,89.8,101,5,49,770,1,0
40,40,72.1,12,112,18,639,1,0
41,41,117.3,117,82,77,978,1,0
42,42,146.0,2,131,85,219,1,0
43,43,99.7,51,52,36,496,1,0
44,44,69.7,139,57,37,587,1,0
45,45,89.8,76,119,14,694,1,0
46,46,71.5,79,131,60,111,1,0
47,47,82.3,35,39,75,51,1,0
48,48,54.4,51,117,70,605,1,0
49,49,127.8,6,107,85,605,1,0
50,50,52.3,123,76,55,698,1,0
51,51,123.7,0,33,62,836,1,0
52,52,71.1,66,129,51,560,1,0
53,53,85.0,149,82,76,162,1,0
54,54,96.6,97,82,84,632,1,0
55,55,74.5,29,34,85,472,1,0
56,56,96.8,117,77,12,913,1,0
57,57,76.4,88,59,37,120,1,0
58,58,105.1,27,119,93,970,1,0
59,59,142.4,30,22,7,586,1,0
60,60,98.39,70,70,96,519,0,0
61,61,98.2,69,68,97,540,0,0
62,62,98.2,68,67,96,593,0,0
63,63,98.06,69,68,95,583,0,0
64,64,98.28,70,70,95,559,0,0
65,65,98.49,68,69,96,572,0,0
66,66,98.35,67,67,96,616,0,0
67,67,98.35,68,69,96,600,0,0
68,68,98.47,68,67,96,575,0,0
69,69,98.55,68,68,97,605,0,0
70,70,98.52,68,68,97,700,0,0
71,71,98.75,67,68,97,480,0,0
72,72,98.91,66,65,98,584,0,0
73,73,98.96,67,66,97,584,0,0
74,74,98.94,67,66,96,590,0,0
75,75,99.0,67,66,96,587,0,0
76,76,98.89,67,68,96,547,0,0
77,77,98.71,67,66,96,593,0,0
78,78,98.7,66,67,97,575,0,0
79,79,98.78,65,64,98,609,0,0
80,80,99.0,64,65,98,601,0,0
81,81,98.95,65,64,97,625,0,0
82,82,98.92,66,65,97,572,0,0
83,83,99.0,66,66,97,598,0,0
84,84,99.0,68,69,98,613,0,0
85,85,99.0,69,69,97,591,0,0
86,86,98.97,70,71,98,570,0,0
87,87,99.0,71,72,97,570,0,0
88,88,99.0,71,72,97,598,0,0
89,89,99.0,70,71,98,561,0,0
90,90,98.83,70,70,97,597,0,0
91,91,98.69,70,71,96,537,0,0
92,92,98.52,69,68,96,539,0,0
93,93,98.34,68,68,96,581,0,0
